row_idx,user_id,session_id,window_idx,window_start,window_end,dual_task_file,dual_task_available,dual_task_count,reaction_time_mean,reaction_time_median,reaction_time_std,reaction_time_min,reaction_time_max,miss_count,error_count,success_count,miss_rate,error_rate,success_rate,dual_task_load_absolute_prelim,dual_task_load_relative_prelim
10,None,session_20260510_191823_9a2425,10,1778438303.4491117,1778438423.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
11,None,session_20260510_191823_9a2425,11,1778438423.4491117,1778438543.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
12,None,session_20260510_191823_9a2425,12,1778438543.4491117,1778438663.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
13,None,session_20260510_191823_9a2425,13,1778438663.4491117,1778438783.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
14,None,session_20260510_191823_9a2425,14,1778438783.4491117,1778438903.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
15,None,session_20260510_191823_9a2425,15,1778438903.4491117,1778438903.7022994,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
16,None,session_20260510_195504_b593cc,0,1778439304.867744,1778439369.3163583,data\session_20260510_195504_b593cc\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
17,None,session_20260511_095459_8a72ee,0,1778489699.079842,1778489819.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
18,None,session_20260511_095459_8a72ee,1,1778489819.079842,1778489939.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
19,None,session_20260511_095459_8a72ee,2,1778489939.079842,1778490059.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,true,1,1860.45,1860.45,0.0,1860.45,1860.45,0,0,1,0.0,0.0,1.0,0.32419426729391726,0.32419426674652824
20,None,session_20260511_095459_8a72ee,3,1778490059.079842,1778490179.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,true,1,2105.61,2105.61,0.0,2105.61,2105.61,0,0,1,0.0,0.0,1.0,0.3710107784824074,0.37101077692976464
21,None,session_20260511_095459_8a72ee,4,1778490179.079842,1778490299.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
22,None,session_20260511_095459_8a72ee,5,1778490299.079842,1778490419.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,true,1,2813.86,2813.86,0.0,2813.86,2813.86,0,0,1,0.0,0.0,1.0,0.4822257411295629,0.4822257380975442
23,None,session_20260511_095459_8a72ee,6,1778490419.079842,1778490539.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
24,None,session_20260511_095459_8a72ee,7,1778490539.079842,1778490659.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
25,None,session_20260511_095459_8a72ee,8,1778490659.079842,1778490779.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,true,1,2612.66,2612.66,0.0,2612.66,2612.66,0,0,1,0.0,0.0,1.0,0.45529797378001524,0.45529797091991403
26,None,session_20260511_095459_8a72ee,9,1778490779.079842,1778490899.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
27,None,session_20260511_095459_8a72ee,10,1778490899.079842,1778491019.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,true,1,1138.61,1138.61,0.0,1138.61,1138.61,0,0,1,0.0,0.0,1.0,0.18817458631941253,0.18817458861812766
28,None,session_20260511_095459_8a72ee,11,1778491019.079842,1778491139.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
29,None,session_20260511_095459_8a72ee,12,1778491139.079842,1778491259.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
30,None,session_20260511_095459_8a72ee,13,1778491259.079842,1778491379.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,true,1,1177.18,1177.18,0.0,1177.18,1177.18,0,0,1,0.0,0.0,1.0,0.19475599607481425,0.19475599826499804
31,None,session_20260511_095459_8a72ee,14,1778491379.079842,1778491499.079842,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
32,None,session_20260511_095459_8a72ee,15,1778491499.079842,1778491499.1637125,data\session_20260511_095459_8a72ee\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
33,None,session_20260511_103551_c8d630,0,1778492151.1553762,1778492271.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
34,None,session_20260511_103551_c8d630,1,1778492271.1553762,1778492391.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
35,None,session_20260511_103551_c8d630,2,1778492391.1553762,1778492511.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,true,1,2440.79,2440.79,0.0,2440.79,2440.79,0,0,1,0.0,0.0,1.0,0.42918423920148246,0.42918423664351385
36,None,session_20260511_103551_c8d630,3,1778492511.1553762,1778492631.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
37,None,session_20260511_103551_c8d630,4,1778492631.1553762,1778492751.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,true,1,1468.01,1468.01,0.0,1468.01,1468.01,0,0,1,0.0,0.0,1.0,0.2477311344589479,0.2477311356224901
38,None,session_20260511_103551_c8d630,5,1778492751.1553762,1778492871.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
39,None,session_20260511_103551_c8d630,6,1778492871.1553762,1778492991.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
40,None,session_20260511_103551_c8d630,7,1778492991.1553762,1778493111.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
41,None,session_20260511_103551_c8d630,8,1778493111.1553762,1778493231.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
42,None,session_20260511_103551_c8d630,9,1778493231.1553762,1778493351.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,true,1,1487.16,1487.16,0.0,1487.16,1487.16,0,0,1,0.0,0.0,1.0,0.2513848324171577,0.251384833502417
43,None,session_20260511_103551_c8d630,10,1778493351.1553762,1778493471.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
44,None,session_20260511_103551_c8d630,11,1778493471.1553762,1778493591.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,true,1,1832.54,1832.54,0.0,1832.54,1832.54,0,0,1,0.0,0.0,1.0,0.3187424318186607,0.31874243139387803
45,None,session_20260511_103551_c8d630,12,1778493591.1553762,1778493711.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
46,None,session_20260511_103551_c8d630,13,1778493711.1553762,1778493831.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
47,None,session_20260511_103551_c8d630,14,1778493831.1553762,1778493951.1553762,data\session_20260511_103551_c8d630\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
48,None,session_20260511_103551_c8d630,15,1778493951.1553762,1778493951.5737233,data\session_20260511_103551_c8d630\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
49,None,session_20260511_184052_938a4e,0,1778521253.175854,1778521373.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
50,None,session_20260511_184052_938a4e,1,1778521373.175854,1778521493.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
51,None,session_20260511_184052_938a4e,2,1778521493.175854,1778521613.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
52,None,session_20260511_184052_938a4e,3,1778521613.175854,1778521733.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
53,None,session_20260511_184052_938a4e,4,1778521733.175854,1778521853.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
54,None,session_20260511_184052_938a4e,5,1778521853.175854,1778521973.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
55,None,session_20260511_184052_938a4e,6,1778521973.175854,1778522093.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
56,None,session_20260511_184052_938a4e,7,1778522093.175854,1778522213.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
57,None,session_20260511_184052_938a4e,8,1778522213.175854,1778522333.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
58,None,session_20260511_184052_938a4e,9,1778522333.175854,1778522453.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
59,None,session_20260511_184052_938a4e,10,1778522453.175854,1778522573.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
60,None,session_20260511_184052_938a4e,11,1778522573.175854,1778522693.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
61,None,session_20260511_184052_938a4e,12,1778522693.175854,1778522813.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
62,None,session_20260511_184052_938a4e,13,1778522813.175854,1778522933.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
63,None,session_20260511_184052_938a4e,14,1778522933.175854,1778523053.175854,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
64,None,session_20260511_184052_938a4e,15,1778523053.175854,1778523053.255954,data\session_20260511_184052_938a4e\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
65,None,session_20260513_110323_584cf7,0,1778666603.461233,1778666723.461233,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
66,None,session_20260513_110323_584cf7,1,1778666723.461233,1778666843.461233,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
67,None,session_20260513_110323_584cf7,2,1778666843.461233,1778666963.461233,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
68,None,session_20260513_110323_584cf7,3,1778666963.461233,1778667083.461233,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
69,None,session_20260513_110323_584cf7,4,1778667083.461233,1778667203.461233,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
70,None,session_20260513_110323_584cf7,5,1778667203.461233,1778667323.461233,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
71,None,session_20260513_110323_584cf7,6,1778667323.461233,1778667323.9635897,data\session_20260513_110323_584cf7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
72,None,session_20260515_222916_e5858b,0,1778880556.5292346,1778880676.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
73,None,session_20260515_222916_e5858b,1,1778880676.5292346,1778880796.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
74,None,session_20260515_222916_e5858b,2,1778880796.5292346,1778880916.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
75,None,session_20260515_222916_e5858b,3,1778880916.5292346,1778881036.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
76,None,session_20260515_222916_e5858b,4,1778881036.5292346,1778881156.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
77,None,session_20260515_222916_e5858b,5,1778881156.5292346,1778881276.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
78,None,session_20260515_222916_e5858b,6,1778881276.5292346,1778881396.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
79,None,session_20260515_222916_e5858b,7,1778881396.5292346,1778881516.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
80,None,session_20260515_222916_e5858b,8,1778881516.5292346,1778881636.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
81,None,session_20260515_222916_e5858b,9,1778881636.5292346,1778881756.5292346,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
82,None,session_20260515_222916_e5858b,10,1778881756.5292346,1778881771.3635397,data\session_20260515_222916_e5858b\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
83,None,session_20260516_105315_535a79,0,1778925195.5406842,1778925315.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
84,None,session_20260516_105315_535a79,1,1778925315.5406842,1778925435.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
85,None,session_20260516_105315_535a79,2,1778925435.5406842,1778925555.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,true,1,1619.79,1619.79,0.0,1619.79,1619.79,0,0,1,0.0,0.0,1.0,0.27703898097270896,0.2770389814924214
86,None,session_20260516_105315_535a79,3,1778925555.5406842,1778925675.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
87,None,session_20260516_105315_535a79,4,1778925675.5406842,1778925795.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
88,None,session_20260516_105315_535a79,5,1778925795.5406842,1778925915.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
89,None,session_20260516_105315_535a79,6,1778925915.5406842,1778926035.5406842,data\session_20260516_105315_535a79\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
90,None,session_20260516_105315_535a79,7,1778926035.5406842,1778926095.6246333,data\session_20260516_105315_535a79\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
91,None,session_20260516_105702_81c740,0,1778925422.932073,1778925542.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
92,None,session_20260516_105702_81c740,1,1778925542.932073,1778925662.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
93,None,session_20260516_105702_81c740,2,1778925662.932073,1778925782.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
94,None,session_20260516_105702_81c740,3,1778925782.932073,1778925902.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
95,None,session_20260516_105702_81c740,4,1778925902.932073,1778926022.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
96,None,session_20260516_105702_81c740,5,1778926022.932073,1778926142.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,true,1,2563.26,2563.26,0.0,2563.26,2563.26,0,0,1,0.0,0.0,1.0,0.44807932245369525,0.44807931966522974
97,None,session_20260516_105702_81c740,6,1778926142.932073,1778926262.932073,data\session_20260516_105702_81c740\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
98,None,session_20260516_105702_81c740,7,1778926262.932073,1778926323.0477557,data\session_20260516_105702_81c740\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
99,None,session_20260516_110318_a84820,0,1778925798.2387426,1778925918.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
100,None,session_20260516_110318_a84820,1,1778925918.2387426,1778926038.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
101,None,session_20260516_110318_a84820,2,1778926038.2387426,1778926158.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
102,None,session_20260516_110318_a84820,3,1778926158.2387426,1778926278.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
103,None,session_20260516_110318_a84820,4,1778926278.2387426,1778926398.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,true,1,2569.33,2569.33,0.0,2569.33,2569.33,0,0,1,0.0,0.0,1.0,0.44897900604891977,0.4489790032509984
104,None,session_20260516_110318_a84820,5,1778926398.2387426,1778926518.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
105,None,session_20260516_110318_a84820,6,1778926518.2387426,1778926638.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
106,None,session_20260516_110318_a84820,7,1778926638.2387426,1778926758.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
107,None,session_20260516_110318_a84820,8,1778926758.2387426,1778926878.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
108,None,session_20260516_110318_a84820,9,1778926878.2387426,1778926998.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
109,None,session_20260516_110318_a84820,10,1778926998.2387426,1778927118.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
110,None,session_20260516_110318_a84820,11,1778927118.2387426,1778927238.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
111,None,session_20260516_110318_a84820,12,1778927238.2387426,1778927358.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
112,None,session_20260516_110318_a84820,13,1778927358.2387426,1778927478.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
113,None,session_20260516_110318_a84820,14,1778927478.2387426,1778927598.2387426,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
114,None,session_20260516_110318_a84820,15,1778927598.2387426,1778927598.535488,data\session_20260516_110318_a84820\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
115,None,session_20260516_164308_06d3f7,0,1778946188.3584187,1778946308.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
116,None,session_20260516_164308_06d3f7,1,1778946308.3584187,1778946428.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
117,None,session_20260516_164308_06d3f7,2,1778946428.3584187,1778946548.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,true,1,1516.54,1516.54,0.0,1516.54,1516.54,0,0,1,0.0,0.0,1.0,0.25701888952617974,0.2570188904894363
118,None,session_20260516_164308_06d3f7,3,1778946548.3584187,1778946668.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
119,None,session_20260516_164308_06d3f7,4,1778946668.3584187,1778946788.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,true,1,nan,nan,nan,nan,nan,1,0,0,1.0,0.0,0.0,0.25,0.25
120,None,session_20260516_164308_06d3f7,5,1778946788.3584187,1778946908.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
121,None,session_20260516_164308_06d3f7,6,1778946908.3584187,1778947028.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,true,1,1765.61,1765.61,0.0,1765.61,1765.61,0,0,1,0.0,0.0,1.0,0.3056246905335904,0.3056246904058083
122,None,session_20260516_164308_06d3f7,7,1778947028.3584187,1778947148.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
123,None,session_20260516_164308_06d3f7,8,1778947148.3584187,1778947268.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
124,None,session_20260516_164308_06d3f7,9,1778947268.3584187,1778947388.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,true,1,1864.47,1864.47,0.0,1864.47,1864.47,0,0,1,0.0,0.0,1.0,0.32497828148166136,0.32497828091669667
125,None,session_20260516_164308_06d3f7,10,1778947388.3584187,1778947508.3584187,data\session_20260516_164308_06d3f7\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
