row_idx,session_id,user_id,device_id,window_id,window_start,window_end,graph_path,mouse_n_native_embeddings,keyboard_n_native_embeddings,notif_source,switching_graph_id,fallback_mouse,fallback_keyboard,fallback_notif,fallback_switching,fallback_reason_mouse,fallback_reason_keyboard,fallback_reason_notif,fallback_reason_switching
11,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000011,1778438423.4491117,1778438543.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_012.json,10,16,onnx,w000011,False,False,False,False,,,,
12,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000012,1778438543.4491117,1778438663.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_013.json,15,1,onnx,w000012,False,False,False,False,,,,
13,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000013,1778438663.4491117,1778438783.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_014.json,10,9,onnx,w000013,False,False,False,False,,,,
14,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000014,1778438783.4491117,1778438903.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_015.json,20,0,onnx,w000014,False,True,False,False,,few_keystrokes(0),,
15,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000015,1778438903.4491117,1778438903.7022994,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_016.json,0,0,onnx,w000015,True,True,False,False,few_events(11),few_keystrokes(0),,
16,session_20260510_195504_b593cc,dem,browser_mp03ekmbeazr37,w000000,1778439304.867744,1778439369.3163583,data\session_20260510_195504_b593cc\data_graph\data_graph_120s\graph_001.json,11,0,onnx,w000000,False,True,False,False,,no_keyboard_csv,,
17,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000000,1778489699.079842,1778489819.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_001.json,15,0,onnx,w000000,False,True,False,False,,few_keystrokes(0),,
18,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000001,1778489819.079842,1778489939.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_002.json,1,0,onnx,w000001,False,True,False,False,,few_keystrokes(0),,
19,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000002,1778489939.079842,1778490059.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_003.json,3,0,onnx,w000002,False,True,False,False,,few_keystrokes(0),,
20,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000003,1778490059.079842,1778490179.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_004.json,1,0,onnx,w000003,False,True,False,False,,few_keystrokes(0),,
21,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000004,1778490179.079842,1778490299.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_005.json,0,0,onnx,w000004,True,True,False,False,few_events(0),few_keystrokes(0),,
22,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000005,1778490299.079842,1778490419.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_006.json,1,0,onnx,w000005,False,True,False,False,,few_keystrokes(0),,
23,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000006,1778490419.079842,1778490539.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_007.json,2,0,onnx,w000006,False,True,False,False,,few_keystrokes(0),,
24,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000007,1778490539.079842,1778490659.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_008.json,2,0,onnx,w000007,False,True,False,False,,few_keystrokes(0),,
25,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000008,1778490659.079842,1778490779.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_009.json,7,0,onnx,w000008,False,True,False,False,,few_keystrokes(1),,
26,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000009,1778490779.079842,1778490899.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_010.json,7,0,onnx,w000009,False,True,False,False,,few_keystrokes(2),,
27,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000010,1778490899.079842,1778491019.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_011.json,13,0,onnx,w000010,False,True,False,False,,few_keystrokes(0),,
28,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000011,1778491019.079842,1778491139.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_012.json,10,0,onnx,w000011,False,True,False,False,,few_keystrokes(0),,
29,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000012,1778491139.079842,1778491259.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_013.json,15,0,onnx,w000012,False,True,False,False,,few_keystrokes(0),,
30,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000013,1778491259.079842,1778491379.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_014.json,9,0,onnx,w000013,False,True,False,False,,few_keystrokes(0),,
31,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000014,1778491379.079842,1778491499.079842,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_015.json,5,0,onnx,w000014,False,True,False,False,,few_keystrokes(0),,
32,session_20260511_095459_8a72ee,dem,browser_mp03ekmbeazr37,w000015,1778491499.079842,1778491499.1637125,data\session_20260511_095459_8a72ee\data_graph\data_graph_120s\graph_016.json,0,0,onnx,w000015,True,True,False,False,few_events(0),few_keystrokes(0),,
33,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000000,1778492151.1553762,1778492271.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_001.json,15,0,onnx,w000000,False,True,False,False,,few_keystrokes(0),,
34,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000001,1778492271.1553762,1778492391.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_002.json,4,5,onnx,w000001,False,False,False,False,,,,
35,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000002,1778492391.1553762,1778492511.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_003.json,2,0,onnx,w000002,False,True,False,False,,few_keystrokes(0),,
36,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000003,1778492511.1553762,1778492631.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_004.json,6,0,onnx,w000003,False,True,False,False,,few_keystrokes(0),,
37,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000004,1778492631.1553762,1778492751.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_005.json,3,0,onnx,w000004,False,True,False,False,,few_keystrokes(0),,
38,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000005,1778492751.1553762,1778492871.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_006.json,2,0,onnx,w000005,False,True,False,False,,few_keystrokes(0),,
39,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000006,1778492871.1553762,1778492991.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_007.json,3,0,onnx,w000006,False,True,False,False,,few_keystrokes(0),,
40,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000007,1778492991.1553762,1778493111.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_008.json,2,6,onnx,w000007,False,False,False,False,,,,
41,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000008,1778493111.1553762,1778493231.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_009.json,11,0,onnx,w000008,False,True,False,False,,few_keystrokes(3),,
42,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000009,1778493231.1553762,1778493351.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_010.json,8,0,onnx,w000009,False,True,False,False,,few_keystrokes(0),,
43,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000010,1778493351.1553762,1778493471.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_011.json,9,0,onnx,w000010,False,True,False,False,,few_keystrokes(0),,
44,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000011,1778493471.1553762,1778493591.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_012.json,9,6,onnx,w000011,False,False,False,False,,,,
45,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000012,1778493591.1553762,1778493711.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_013.json,5,2,onnx,w000012,False,False,False,False,,,,
46,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000013,1778493711.1553762,1778493831.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_014.json,2,0,onnx,w000013,False,True,False,False,,few_keystrokes(0),,
47,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000014,1778493831.1553762,1778493951.1553762,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_015.json,8,5,onnx,w000014,False,False,False,False,,,,
48,session_20260511_103551_c8d630,dem,browser_mp03ekmbeazr37,w000015,1778493951.1553762,1778493951.5737233,data\session_20260511_103551_c8d630\data_graph\data_graph_120s\graph_016.json,0,0,onnx,w000015,True,True,False,False,few_events(15),few_keystrokes(0),,
49,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000000,1778521253.175854,1778521373.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_001.json,24,1,onnx,w000000,False,False,False,False,,,,
50,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000001,1778521373.175854,1778521493.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_002.json,21,3,onnx,w000001,False,False,False,False,,,,
51,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000002,1778521493.175854,1778521613.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_003.json,16,4,onnx,w000002,False,False,False,False,,,,
52,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000003,1778521613.175854,1778521733.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_004.json,6,13,onnx,w000003,False,False,False,False,,,,
53,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000004,1778521733.175854,1778521853.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_005.json,1,0,onnx,w000004,False,True,False,False,,few_keystrokes(0),,
54,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000005,1778521853.175854,1778521973.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_006.json,8,0,onnx,w000005,False,True,False,False,,few_keystrokes(0),,
55,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000006,1778521973.175854,1778522093.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_007.json,11,3,onnx,w000006,False,False,False,False,,,,
56,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000007,1778522093.175854,1778522213.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_008.json,6,8,onnx,w000007,False,False,False,False,,,,
57,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000008,1778522213.175854,1778522333.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_009.json,7,0,onnx,w000008,False,True,False,False,,few_keystrokes(2),,
58,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000009,1778522333.175854,1778522453.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_010.json,4,0,onnx,w000009,False,True,False,False,,few_keystrokes(0),,
59,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000010,1778522453.175854,1778522573.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_011.json,4,21,onnx,w000010,False,False,False,False,,,,
60,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000011,1778522573.175854,1778522693.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_012.json,12,5,onnx,w000011,False,False,False,False,,,,
61,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000012,1778522693.175854,1778522813.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_013.json,7,16,onnx,w000012,False,False,False,False,,,,
62,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000013,1778522813.175854,1778522933.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_014.json,16,1,onnx,w000013,False,False,False,False,,,,
63,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000014,1778522933.175854,1778523053.175854,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_015.json,17,0,onnx,w000014,False,True,False,False,,few_keystrokes(0),,
64,session_20260511_184052_938a4e,mohanned,browser_molyfx8zeb2zr1,w000015,1778523053.175854,1778523053.255954,data\session_20260511_184052_938a4e\data_graph\data_graph_120s\graph_016.json,0,0,onnx,w000015,True,True,False,False,few_events(2),few_keystrokes(0),,
65,session_20260513_110323_584cf7,layss,device_9474033c,w000000,1778666603.461233,1778666723.461233,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_001.json,7,7,onnx,w000000,False,False,False,False,,,,
66,session_20260513_110323_584cf7,layss,device_9474033c,w000001,1778666723.461233,1778666843.461233,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_002.json,4,1,onnx,w000001,False,False,False,False,,,,
67,session_20260513_110323_584cf7,layss,device_9474033c,w000002,1778666843.461233,1778666963.461233,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_003.json,9,5,onnx,w000002,False,False,False,False,,,,
68,session_20260513_110323_584cf7,layss,device_9474033c,w000003,1778666963.461233,1778667083.461233,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_004.json,3,7,onnx,w000003,False,False,False,False,,,,
69,session_20260513_110323_584cf7,layss,device_9474033c,w000004,1778667083.461233,1778667203.461233,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_005.json,8,0,onnx,w000004,False,True,False,False,,few_keystrokes(0),,
70,session_20260513_110323_584cf7,layss,device_9474033c,w000005,1778667203.461233,1778667323.461233,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_006.json,11,1,onnx,w000005,False,False,False,False,,,,
71,session_20260513_110323_584cf7,layss,device_9474033c,w000006,1778667323.461233,1778667323.9635897,data\session_20260513_110323_584cf7\data_graph\data_graph_120s\graph_007.json,0,0,onnx,w000006,True,True,False,False,few_events(0),few_keystrokes(1),,
72,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000000,1778880556.5292346,1778880676.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_001.json,20,1,onnx,w000000,False,False,False,False,,,,
73,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000001,1778880676.5292346,1778880796.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_002.json,17,0,onnx,w000001,False,True,False,False,,few_keystrokes(0),,
74,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000002,1778880796.5292346,1778880916.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_003.json,18,0,onnx,w000002,False,True,False,False,,few_keystrokes(0),,
75,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000003,1778880916.5292346,1778881036.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_004.json,18,0,onnx,w000003,False,True,False,False,,few_keystrokes(0),,
76,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000004,1778881036.5292346,1778881156.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_005.json,17,0,onnx,w000004,False,True,False,False,,few_keystrokes(0),,
77,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000005,1778881156.5292346,1778881276.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_006.json,14,0,onnx,w000005,False,True,False,False,,few_keystrokes(0),,
78,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000006,1778881276.5292346,1778881396.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_007.json,8,0,onnx,w000006,False,True,False,False,,few_keystrokes(3),,
79,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000007,1778881396.5292346,1778881516.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_008.json,18,0,onnx,w000007,False,True,False,False,,few_keystrokes(0),,
80,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000008,1778881516.5292346,1778881636.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_009.json,30,0,onnx,w000008,False,True,False,False,,few_keystrokes(0),,
81,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000009,1778881636.5292346,1778881756.5292346,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_010.json,27,0,onnx,w000009,False,True,False,False,,few_keystrokes(1),,
82,session_20260515_222916_e5858b,Graja,device_6efd56b1,w000010,1778881756.5292346,1778881771.3635397,data\session_20260515_222916_e5858b\data_graph\data_graph_120s\graph_011.json,4,0,onnx,w000010,False,True,False,False,,few_keystrokes(0),,
83,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000000,1778925195.5406842,1778925315.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_001.json,3,2,onnx,w000000,False,False,False,False,,,,
84,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000001,1778925315.5406842,1778925435.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_002.json,0,2,onnx,w000001,True,False,False,False,few_events(0),,,
85,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000002,1778925435.5406842,1778925555.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_003.json,3,0,onnx,w000002,False,True,False,False,,few_keystrokes(1),,
86,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000003,1778925555.5406842,1778925675.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_004.json,6,0,onnx,w000003,False,True,False,False,,few_keystrokes(2),,
87,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000004,1778925675.5406842,1778925795.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_005.json,0,0,onnx,w000004,True,True,False,False,few_events(0),few_keystrokes(0),,
88,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000005,1778925795.5406842,1778925915.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_006.json,0,0,onnx,w000005,True,True,False,False,few_events(0),few_keystrokes(0),,
89,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000006,1778925915.5406842,1778926035.5406842,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_007.json,3,1,onnx,w000006,False,False,False,False,,,,
90,session_20260516_105315_535a79,hffz,device_6dd3e3f6,w000007,1778926035.5406842,1778926095.6246333,data\session_20260516_105315_535a79\data_graph\data_graph_120s\graph_008.json,2,1,onnx,w000007,False,False,False,False,,,,
91,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000000,1778925422.932073,1778925542.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_001.json,6,0,onnx,w000000,False,True,False,False,,no_keyboard_csv,,
92,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000001,1778925542.932073,1778925662.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_002.json,3,0,onnx,w000001,False,True,False,False,,no_keyboard_csv,,
93,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000002,1778925662.932073,1778925782.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_003.json,0,0,onnx,w000002,True,True,False,False,few_events(14),no_keyboard_csv,,
94,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000003,1778925782.932073,1778925902.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_004.json,0,0,onnx,w000003,True,True,False,False,few_events(0),no_keyboard_csv,,
95,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000004,1778925902.932073,1778926022.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_005.json,2,0,onnx,w000004,False,True,False,False,,no_keyboard_csv,,
96,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000005,1778926022.932073,1778926142.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_006.json,8,0,onnx,w000005,False,True,False,False,,no_keyboard_csv,,
97,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000006,1778926142.932073,1778926262.932073,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_007.json,7,0,onnx,w000006,False,True,False,False,,no_keyboard_csv,,
98,session_20260516_105702_81c740,browser_mp835qq4j4kymt,browser_mp835qq4j4kymt,w000007,1778926262.932073,1778926323.0477557,data\session_20260516_105702_81c740\data_graph\data_graph_120s\graph_008.json,1,0,onnx,w000007,False,True,False,False,,no_keyboard_csv,,
99,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000000,1778925798.2387426,1778925918.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_001.json,5,0,onnx,w000000,False,True,False,False,,few_keystrokes(0),,
100,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000001,1778925918.2387426,1778926038.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_002.json,2,0,onnx,w000001,False,True,False,False,,few_keystrokes(0),,
101,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000002,1778926038.2387426,1778926158.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_003.json,1,0,onnx,w000002,False,True,False,False,,few_keystrokes(0),,
102,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000003,1778926158.2387426,1778926278.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_004.json,1,0,onnx,w000003,False,True,False,False,,few_keystrokes(0),,
103,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000004,1778926278.2387426,1778926398.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_005.json,2,0,onnx,w000004,False,True,False,False,,few_keystrokes(0),,
104,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000005,1778926398.2387426,1778926518.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_006.json,1,0,onnx,w000005,False,True,False,False,,few_keystrokes(0),,
105,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000006,1778926518.2387426,1778926638.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_007.json,1,0,onnx,w000006,False,True,False,False,,few_keystrokes(0),,
106,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000007,1778926638.2387426,1778926758.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_008.json,1,0,onnx,w000007,False,True,False,False,,few_keystrokes(0),,
107,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000008,1778926758.2387426,1778926878.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_009.json,0,0,onnx,w000008,True,True,False,False,few_events(0),few_keystrokes(0),,
108,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000009,1778926878.2387426,1778926998.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_010.json,0,0,onnx,w000009,True,True,False,False,few_events(0),few_keystrokes(0),,
109,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000010,1778926998.2387426,1778927118.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_011.json,0,0,onnx,w000010,True,True,False,False,few_events(0),few_keystrokes(0),,
110,session_20260516_110318_a84820,amrdroid,browser_mp86g429xypxnh,w000011,1778927118.2387426,1778927238.2387426,data\session_20260516_110318_a84820\data_graph\data_graph_120s\graph_012.json,0,0,onnx,w000011,True,True,False,False,few_events(0),few_keystrokes(0),,
